Amp_P0 Freq_P0 Amp_P1 Freq_P1 Filename BW_F1 BW_F2 BW_F3 BW_F4 Centroid Std_Dev Freq_F1 Freq_F2 Freq_F3 Freq_4 Amp_F1 Amp_F2 Amp_F3 Amp_F4 nPeaksDB
17.0753 796.875 26.6928 1218.75 abd_0.txt 74.4296 56.455 75.45 181.244 3326 208 890.625 1296.88 2515.62 3531.25 9.02021 9.13495 2.08597 0.756513 26
30.7078 750 35.0646 906.25 abd_0.txt 31.7214 32.2707 70.9133 298.599 3268 204 828.125 1234.38 2484.38 3312.5 33.8368 24.2718 2.91845 0.622026 19
31.3195 125 36.5798 1234.38 abd_0.txt 41.3981 39.5941 33.0942 152.756 3240 202 828.125 1234.38 2484.38 3656.25 36.741 25.1259 4.77557 0.593568 20
31.1817 140.625 32.6717 843.75 abd_0.txt 60.1141 112.346 83.5781 202.563 3211 200 812.5 1218.75 2515.62 3625 21.3621 8.4931 2.23119 0.633066 48
32.1294 125 35.5927 859.375 abd_0.txt 56.9885 64.8429 38.6873 234.767 3280 205 781.25 1109.38 2484.38 3390.62 31.3488 19.2113 5.28611 0.681007 39
33.1131 140.625 38.286 843.75 abd_0.txt 60.6214 85.1631 38.969 153.503 3251 203 750 1140.62 2468.75 3484.38 33.4484 15.4176 5.05351 0.748431 49
32.3951 125 37.2111 843.75 abd_0.txt 35.0337 80.3409 69.1209 141.075 3212 200 687.5 1156.25 2453.12 3484.38 43.0903 10.9961 2.77078 0.897463 15
38.7489 125 44.5125 687.5 abd_0.txt 34.1024 66.6031 2202.37 52.3152 3294 206 640.625 1125 1734.38 2437.5 68.805 18.428 1.82899 3.83476 20
29.4686 93.75 28.64 750 abd_0.txt 132.353 171.784 218.131 201.062 3079 192 609.375 1296.88 2453.12 3687.5 12.0734 4.26097 1.07966 0.765818 52
29.221 46.875 37.2072 125 abd_0.txt 65.0072 58.7975 220.48 247.789 2949 184 93.75 906.25 2031.25 2875 39.8348 9.42737 1.20733 0.870589 14
34.7024 156.25 35.4426 984.375 abd_0.txt 63.0546 47.7504 74.1264 173.117 3499 218 781.25 1187.5 2437.5 3390.62 28.4811 24.7264 3.20109 0.83877 23
27.9331 281.25 36.8869 671.875 abd_0.txt 34.7546 28.8871 55.0423 246.801 3287 205 703.125 1171.88 2375 3562.5 41.622 31.2159 3.70853 0.566429 15
31.7285 281.25 36.6344 703.125 abd_0.txt 26.204 24.8265 32.8925 152.127 3280 205 703.125 1203.12 2375 3453.12 52.4905 32.3629 5.54637 0.664219 15
24.0007 281.25 30.3321 703.125 abd_0.txt 42.2058 38.6326 64.0326 189.756 3267 204 718.75 1250 2375 3296.88 21.3527 14.7273 2.95128 0.755516 26
