Filename,Segment_label,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,Time
Bd_138,A,750.00,38.56,125.00,47.10,40.69,47.10,-8.55,906.25,38.92,-0.36,1.00
Bd_138,ee,531.25,25.74,93.75,42.50,42.67,25.18,0.57,968.75,23.59,2.16,1.00
Bd_139,ee,312.50,49.53,125.00,43.11,53.03,41.97,7.57,1000.00,20.73,28.81,1.00
Bd_139,A,437.50,50.78,156.25,52.50,52.55,24.49,26.29,906.25,36.10,14.69,1.00
Bd_139,ee,812.50,37.02,187.50,51.44,47.35,51.44,-14.43,875.00,30.14,6.88,1.00
Bd_14,A,437.50,50.71,156.25,48.29,50.97,16.96,33.75,1000.00,38.87,11.83,1.00
Bd_140,ee,437.50,21.51,93.75,39.66,38.81,39.66,-18.14,906.25,19.70,1.82,1.00
Bd_141,i,1156.25,22.58,187.50,47.04,30.03,47.20,-24.62,906.25,20.31,2.27,1.00
Bd_141,oh,640.63,1.18,171.88,0.27,4.79,16.03,-14.85,890.63,-0.63,1.82,1.00
Bd_142,i,375.00,24.33,125.00,21.40,29.59,12.88,11.45,937.50,9.83,14.50,1.00
Bd_142,ee,375.00,43.10,125.00,39.52,40.68,31.55,11.55,968.75,19.02,24.08,1.00
Bd_144,oh,421.88,24.52,140.63,40.26,38.08,40.26,-15.74,937.50,9.36,15.16,1.00
Bd_144,ee,875.00,20.12,78.03,34.66,34.57,34.84,-14.71,937.50,7.19,12.94,1.00
Bd_146,ee,375.00,41.67,125.00,43.17,47.50,40.21,1.46,937.50,22.02,19.65,1.00
Bd_147,i,281.25,54.17,156.25,48.62,54.17,13.29,40.89,875.00,30.45,23.73,1.00
Bd_147,ee,312.50,41.36,125.00,40.86,47.33,33.26,8.10,1000.00,20.33,21.03,1.00
Bd_147,A,375.00,49.03,187.50,48.13,49.03,9.39,39.65,906.25,16.32,32.71,1.00
Bd_147,A,1078.13,41.08,156.25,44.51,47.66,8.28,32.80,921.88,36.97,4.12,1.00
Bd_147,oh,406.25,38.62,125.00,41.89,47.20,30.90,7.72,1000.00,26.47,12.15,1.00
Bd_147,aa,718.75,39.35,156.25,43.14,48.36,25.43,13.92,875.00,35.65,3.70,1.00
Bd_148,i,312.50,39.69,218.75,53.00,45.92,53.00,-13.31,1046.88,26.06,13.63,1.00
Bd_148,ee,375.00,31.92,93.75,35.20,38.10,27.86,4.06,906.25,13.46,18.46,1.00
Bd_149,ee,312.50,48.17,125.00,41.71,49.65,35.48,12.69,1000.00,20.44,27.73,1.00
Bd_15,i,281.25,48.10,187.50,48.00,44.56,48.19,-0.09,875.00,16.72,31.38,1.00
Bd_15,oh,1000.00,36.02,156.25,52.35,55.40,5.15,30.88,968.75,38.62,-2.59,1.00
Bd_15,A,250.00,39.93,125.00,37.48,39.93,14.18,25.75,1000.00,-0.31,40.24,1.00
Bd_15,A,406.25,37.71,156.25,44.95,33.06,46.13,-8.42,875.00,19.69,18.02,1.00
Bd_15,ee,1062.50,16.27,125.00,16.46,16.93,9.22,7.05,1000.00,14.20,2.06,1.00
Bd_15,A,390.63,42.71,156.25,50.16,50.96,7.86,34.86,921.88,23.86,18.85,1.00
Bd_150,A,437.50,38.54,187.50,43.39,38.53,43.39,-4.85,875.00,22.73,15.81,1.00
Bd_150,ee,625.00,39.65,125.00,43.68,44.05,21.04,18.61,937.50,37.38,2.27,1.00
Bd_150,E,390.63,22.41,156.25,34.82,29.09,34.82,-12.41,937.50,6.83,15.59,1.00
Bd_150,i,250.00,37.18,156.25,44.80,33.81,44.82,-7.64,937.50,5.51,31.67,1.00
Bd_151,aa,343.75,41.25,156.25,41.67,43.03,19.96,21.29,875.00,24.31,16.94,1.00
Bd_152,oh,406.25,45.75,187.50,47.75,46.06,47.75,-2.01,1031.25,27.93,17.81,1.00
Bd_154,oh,562.50,44.25,125.00,42.43,41.88,44.29,-0.04,906.25,33.60,10.65,1.00
Bd_154,aa,437.50,46.83,125.00,37.57,41.73,37.87,8.95,937.50,29.18,17.64,1.00
Bd_155,ee,265.63,27.05,93.75,35.85,35.39,35.85,-8.80,937.50,-1.91,28.96,1.00
