Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1
chan_00,dd,2.15,2.23,215.8562231,718.75,43.6049029,125,40.859464,39.78443108,43.6049029,0,953.125,34.40714844,9.197754463,578.125,42.57010673,125,41.23078978,39.67556652,42.57010673,0,953.125,27.82503799,14.74506875,484.375,39.21614725,125,41.70427916,40.16313055,41.70427916,-2.48813191,953.125,20.78866351,18.42748374
chan_00,A,2.23,2.29,556.2081754,437.5,39.00281788,125,40.30952447,38.47075758,40.40848697,-1.405669083,937.5,17.07738883,21.92542905,375,33.14703351,125,34.3936796,31.27121325,34.3936796,-1.246646087,937.5,4.42577957,28.72125394,437.5,36.0772645,125,37.20037179,34.27991486,37.20037179,-1.123107289,937.5,13.02051604,23.05674846
chan_00,Y,2.29,2.4,703.5210142,531.25,42.93049413,125,42.65782268,39.33482065,42.93049413,0,906.25,23.56542382,19.36507031,656.25,43.03588816,125,42.89931002,39.56010711,43.03588816,0,906.25,29.25192054,13.78396762,531.25,40.17620887,125,42.60197723,39.36715825,42.60197723,-2.42576836,937.5,25.61352499,14.56268388
chan_00,rr,2.4,2.44,443.8492175,343.75,33.0207098,125,37.6110521,30.01110412,37.6110521,-4.590342303,937.5,10.5719139,22.44879589,218.75,20.26774318,125,33.06335616,25.2568192,33.06335616,-12.79561298,906.25,-6.239339222,26.5070824,250,21.44133795,125,31.45487401,21.44133795,31.45487401,-10.01353606,906.25,-11.28074245,32.7220804
chan_00,A,2.44,2.51,529.3746179,312.5,26.83041581,152.9662404,33.61252487,25.8224965,33.61252487,-6.782109068,875,3.049808798,23.78060701,312.5,37.01488775,125,39.6983396,40.71836772,13.78974898,23.22513876,937.5,2.861714504,34.15317324,281.25,35.22511658,125,37.99062562,35.93381099,37.99062562,-2.765509032,906.25,2.6218992,32.60321738
chan_00,b,2.51,2.59,363.3498878,296.875,6.554453479,125,18.24156159,10.34065434,18.46522052,-11.91076704,906.25,-15.42546738,21.97992086,1671.875,-8.612098471,140.625,9.639413622,5.860926416,9.639413622,-18.25151209,1015.625,-12.62900209,4.016903619,531.25,7.673588204,140.625,14.25053587,8.890291408,17.51394722,-9.840359011,1015.625,6.651545339,1.022042866
chan_00,i,2.59,2.65,294.9871339,468.75,39.21500624,154.1035391,41.12787237,40.28839279,41.64563553,-2.43062929,875,24.16932545,15.04568079,562.5,44.59670037,125,41.36690436,38.94393763,44.59670037,0,937.5,20.41281249,24.18388789,531.25,40.98275055,125,42.00901635,37.93629295,42.00901635,-1.026265796,968.75,26.08948915,14.8932614
chan_00,ch,2.65,2.75,322.4394944,500,39.55158652,125,38.67634555,37.7711888,39.55158652,0,1000,22.35712386,17.19446266,500,36.27737357,125,35.35793537,21.60279292,36.27737357,0,937.5,17.70375237,18.57362119,437.5,27.5599245,125,35.85316595,31.94062094,35.85316595,-8.29324145,937.5,16.66122706,10.89869744
chan_00,A,2.75,2.82,491.2804378,562.5,42.56119099,125,42.41477714,39.20163425,42.56119099,0,968.75,24.19279247,18.36839852,562.5,42.44595515,125,42.00422539,38.76238843,42.44595515,0,968.75,30.62118721,11.82476794,531.25,41.50517741,125,41.37728562,38.29391863,41.50517741,0,968.75,29.02883875,12.47633866
chan_00,rr,2.82,2.85,541.4186038,437.5,30.98676912,125,38.93480714,32.62944224,38.93480714,-7.948038017,937.5,22.70979919,8.276969929,437.5,1.989323852,125,24.87316727,5.069558502,24.87316727,-22.88384342,968.75,3.703875541,-1.714551689,1218.75,5.795019301,125,8.508498034,1.684706316,11.22117855,-5.426159248,968.75,-2.762852855,8.557872156
chan_00,aa,2.85,2.93,556.6044065,1468.75,14.30198086,140.625,6.235440183,1.384532848,14.61079712,-0.308816252,1015.625,1.186515613,13.11546525,1531.25,17.88074779,140.625,5.811019396,-3.365157456,18.75713626,-0.87638847,937.5,2.106122532,15.77462526,1546.875,18.60595721,140.625,9.768551411,6.663637817,18.60595721,0,1015.625,2.395131614,16.2108256
chan_00,k,2.93,2.99,476.2333557,437.5,22.7036034,125,37.20046099,25.30540193,37.20046099,-14.49685759,906.25,19.10812198,3.595481412,718.75,35.13508566,125,37.28422176,34.86386374,37.28422176,-2.149136094,937.5,30.36516967,4.76991599,687.5,29.93641122,125,37.17726322,34.07973527,37.17726322,-7.240852,937.5,26.42776769,3.50864353
chan_00,sh,2.99,3.12,1379.543053,812.5,27.08224306,125,38.93708582,34.93239332,38.93708582,-11.85484275,937.5,20.95176021,6.130482848,1062.5,24.69687654,125,38.3987218,36.81697175,38.3987218,-13.70184527,937.5,22.08879422,2.608082321,1062.5,21.89369431,125,37.79614961,34.83382248,37.79614961,-15.9024553,937.5,18.46997493,3.423719377
chan_00,aa,3.12,3.19,459.397067,1031.25,5.440373367,125,28.66174888,20.28069203,28.66174888,-23.22137551,1000,4.362618199,1.077755168,1156.25,-4.578889912,125,-1.227968225,3.59486294,-3.466281159,-1.112608753,968.75,-12.5538923,7.975002387,906.25,-13.90620247,125,-4.399514147,1.603589787,8.472750435,-22.3789529,906.25,-13.90620247,0
chan_00,m,3.19,3.27,808.5364906,562.5,34.79261793,125,33.34070493,28.69440317,36.97297701,-2.180359079,906.25,25.77434774,9.018270186,656.25,42.3154327,125,40.61741845,38.51256447,42.3154327,0,1000,26.72172839,15.59370431,531.25,38.13546363,125,41.48855559,38.7624523,41.48855559,-3.353091958,906.25,24.90218835,13.23327527
chan_00,p,3.27,3.34,1139.425077,281.25,25.78576224,125,34.40643155,27.32615253,34.40643155,-8.620669308,906.25,1.925897641,23.8598646,250,26.20212721,125,31.86897873,26.20212721,31.86897873,-5.666851525,906.25,-9.54065677,35.74278398,937.5,10.02083507,125,22.18165446,11.14240244,22.18165446,-12.16081939,968.75,10.21957158,-0.198736502
chan_00,A,3.34,3.42,557.8399063,531.25,37.97002289,125,43.61985407,39.51243177,43.61985407,-5.649831183,968.75,23.47075945,14.49926344,531.25,43.50864885,125,42.73073587,38.68696711,43.50864885,0,937.5,30.3239732,13.18467564,531.25,41.92960232,125,42.84602545,38.0499564,42.84602545,-0.916423132,937.5,28.74100841,13.18859391
