FFlename,Segment_label,BegFnnFng,End,F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1,,
chan_0123,F,2.73,2.85,378.3629552,250,24.10148868,140.625,34.71075211,28.31111899,34.71075211,-10.60926343,968.75,-7.027203726,31.1286924,640.625,-3.56795009,125,26.04746279,20.59539137,26.04746279,-29.61541288,984.375,-4.403495358,0.835545268,1093.75,12.65724338,109.375,35.6342543,25.46472501,35.6342543,-22.97701092,953.125,10.31480144,2.342441943,m,NV
chan_0123,F,6.63,6.71,312.2684308,265.625,32.89450758,125,36.06676039,40.34231894,6.975536994,25.91897058,890.625,-4.84014031,37.73464789,312.5,37.4898118,109.375,31.12459155,36.1929744,2.298624728,35.19118707,937.5,-6.309930675,43.799742475,328.125,31.12059849,109.375,28.11754279,30.02618355,-0.306684136,31.42728263,984.375,-13.89762032,45.01821881,m,NV
chan_0124,B,6.19,6.31,470.2088534,312.5,31.10867817,125.6543436,37.94101163,33.86251812,37.94101163,-6.832333469,968.75,11.62874101,19.47993715,281.25,33.84529324,125,37.83850736,33.84529324,37.83850736,-3.993214119,937.5,15.48936228,18.35593096,375,27.97854568,125,36.96128637,33.6523323,36.96128637,-8.982740696,906.25,15.510695,12.46785068,m,NV
chan_0126,B,5.43,5.5,534.2168913,812.5,28.23930033,125,36.29359877,27.63064559,36.29359877,-8.054298432,937.5,26.57692498,1.662375353,687.5,35.23545464,125,36.06636704,30.63617862,36.06636704,-0.830912401,968.75,27.70981731,7.52563733,687.5,37.07506479,125,35.81298625,31.34513125,37.07506479,0,968.75,23.1584506,13.91661419,m,NV
chan_0127,F,2.93,3.01,409.813645,468.75,27.33418073,156.25,27.56162372,26.7792942,27.56162372,-0.227442988,875,10.16952751,17.16465323,437.5,44.94403884,156.1975486,38.10926076,41.18443518,2.517888786,42.42615005,875,13.69217428,31.25186456,437.5,44.87036637,156.25,38.09582028,40.13235977,3.072673475,41.7976929,875,14.57364785,30.29671852,m,NV
chan_0128,B,2.37,2.48,591.0842633,312.5,7.624376103,139.1843714,28.67116224,7.624376103,28.67116224,-21.04678614,937.5,-3.721576938,11.34595304,312.5,37.2749282,130.7651229,36.68207739,37.2749282,28.40223509,8.872693106,1000,-1.058221944,38.333150144,312.5,38.87901759,130.5031764,37.3271181,38.87901759,28.14122607,10.73779152,1000,-0.584869024,39.46388662,m,NV
chan_0128,B,3.9,4.02,619.9708094,765.625,15.69663065,140.625,21.19592449,10.17411851,21.19592449,-5.49929384,1015.625,9.536260411,6.160370241,812.5,31.22816125,125,33.57769004,28.30023894,33.57769004,-2.349528795,937.5,30.52819203,0.69996922,812.5,35.19964293,109.375,37.6418523,33.15077673,37.6418523,-2.442209375,921.875,33.59966057,1.599982361,m,NV
chan_0129,B,1.65,1.73,637.8989211,453.125,43.80330497,109.375,37.85455974,38.76179176,14.41872304,29.38458193,1000,23.13391221,20.66939276,421.875,42.55758225,109.375,34.05452268,35.87916116,3.125026511,39.43255574,953.125,25.71763008,16.83995217,437.5,32.96082642,109.375,28.81562436,23.08094557,32.96082642,0,984.375,16.27439227,16.68643416,m,NV
chan_0129,B,5.97,6.04,420.6616856,437.5,5.12406919,125,9.179707753,3.676588362,9.179707753,-4.055638563,937.5,-4.120179632,9.244248823,1062.5,0.06501444,125,21.3484994,15.7130353,21.3484994,-21.28348496,1000,-5.169145513,5.234159953,750,-5.046751027,125,22.49614909,17.56201288,22.49614909,-27.54290011,1000,2.784387974,-7.831139,m,NV
chan_0130,B,4.7,4.74,586.6477997,343.75,38.98763078,156.25,41.43004345,43.53625376,17.16003485,21.82759593,906.25,10.02315558,28.9644752,343.75,39.89323291,156.25,41.98751201,44.0425396,13.81297454,26.08025837,937.5,10.59243512,29.30079779,312.5,44.91526209,156.25,41.35456359,44.91526209,8.044093568,36.87116852,937.5,8.98982176,35.92544033,m,NV
