Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1
abd_1,chh,2.18,2.29,530.5888125,250,55.07109079,125,48.14073019,55.07109079,10.70795494,44.36313585,921.875,22.83354437,32.23754642,437.5,58.27773946,218.75,49.18656745,58.27773946,4.300777975,53.97696149,843.75,36.91837992,21.35935954,562.5,44.39818932,156.25,48.73958137,50.27932455,-0.399458165,44.79764749,875,37.88000986,6.518179466
abd_1,ee,2.29,2.38,385.2631233,218.75,29.77708834,93.75,34.42954508,40.11196636,13.92002115,15.85706719,921.875,1.625831502,28.15125684,218.75,43.229098,93.75,39.80394795,48.65114383,-2.643251147,45.87234915,906.25,13.11693918,30.11215882,218.75,29.77708834,93.75,34.42954508,40.11196636,13.92002115,15.85706719,921.875,1.625831502,28.15125684
abd_1,n,2.38,2.55,267.6883286,218.75,29.77708834,93.75,34.42954508,40.11196636,13.92002115,15.85706719,921.875,1.625831502,28.15125684,218.75,29.77708834,93.75,34.42954508,40.11196636,13.92002115,15.85706719,921.875,1.625831502,28.15125684,218.75,29.77708834,93.75,34.42954508,40.11196636,13.92002115,15.85706719,921.875,1.625831502,28.15125684
abd_1,sil,2.67,2.73,799.1504148,218.75,29.77708834,93.75,34.42954508,40.11196636,13.92002115,15.85706719,921.875,1.625831502,28.15125684,218.75,29.77708834,93.75,34.42954508,40.11196636,13.92002115,15.85706719,921.875,1.625831502,28.15125684,218.75,29.77708834,93.75,34.42954508,40.11196636,13.92002115,15.85706719,921.875,1.625831502,28.15125684
abd_10,sil,0,0.28,555.0406917,671.875,53.87455401,164.0625,56.98587849,53.54856111,56.98587849,-3.11132448,1007.8125,48.0699778,5.80457621,1343.75,21.91599474,140.625,52.4340491,50.69790488,52.4340491,-30.51805437,937.5,26.52860346,-4.612608722,1015.625,25.39175551,140.625,54.99556973,49.36859078,54.99556973,-29.60381423,890.625,29.16820669,-3.776451183
abd_10,m,0.28,0.41,1259.023579,718.75,9.72181237,156.25,10.0231634,8.451986438,10.39989328,-0.678080906,875,5.071071205,4.650741166,726.5625,57.50948714,171.875,57.00027401,52.07785965,57.50948714,0,867.1875,52.86079252,4.648694628,734.375,51.35765506,148.4375,50.55085045,52.4058756,9.239400057,42.11825501,882.8125,45.68086999,5.676785077
abd_10,A,0.41,0.75,736.6218844,312.5,48.26347338,156.25,51.65861759,48.26347338,51.65861759,-3.395144215,937.5,15.61865877,32.64481461,265.625,43.20775007,140.625,50.83881123,46.9351264,50.83881123,-7.631061158,1015.625,10.94505892,32.26269115,265.625,33.1557818,156.25,56.01517458,50.30718635,56.01517458,-22.85939279,1015.625,10.45476943,22.70101237
abd_10,m,0.84,0.97,739.2192482,312.5,58.10547335,156.25,54.76089326,58.10547335,26.94900221,31.15647115,968.75,25.23929127,32.86618208,343.75,50.55572343,156.25,51.22548505,52.06984472,33.63716739,16.91855604,937.5,18.55048342,32.00524001,312.5,52.18206448,156.25,51.67546009,52.18206448,31.30358764,20.87847684,875,19.96892209,32.21314239
abd_10,i,0.97,1.02,336.621408,375,64.29645786,187.5,54.63233196,64.29645786,18.47403179,45.82242607,937.5,34.00266477,30.2937931,343.75,55.54502869,187.5,56.19477023,55.54502869,56.19477023,-0.649741541,875,19.20986975,36.33515894,375,54.53408303,187.5,56.16404241,54.53408303,56.16404241,-1.629959384,906.25,21.86110855,32.67297447
abd_10,l,1.02,1.09,316.0764934,187.5,39.69882814,187.5,39.69882814,17.95216022,39.69882814,0,968.75,-9.561461383,49.26028952,406.25,56.84073061,187.5,54.87409525,56.84073061,17.41834507,39.42238555,1000,19.73346836,37.10726226,375,45.43990772,187.5,50.67385132,45.43990772,50.67385132,-5.233943606,968.75,15.18847071,30.251437
abd_10,i,1.09,1.17,376.9648375,570.3125,61.87137155,187.5,51.44793945,55.09386291,23.43940115,38.43197041,929.6875,43.55190518,18.31946637,218.75,27.53465187,187.5,30.80864943,21.1000039,30.80864943,-3.273997568,875,-13.2732244,40.80787627,343.75,18.24296031,187.5,24.95507871,18.24296031,27.2950976,-9.052137288,875,4.656873176,13.58608713
abd_10,tt,1.17,1.22,188.310323,281.25,34.5284661,187.5,46.69140001,43.04897601,46.69140001,-12.16293391,968.75,18.09692571,16.4315404,515.625,48.03295351,187.5,53.10958759,57.53859024,13.96257556,34.07037795,945.3125,36.92006428,11.11288923,390.625,59.82688744,195.3125,54.8876351,59.82688744,8.091672092,51.73521535,976.5625,28.18201034,31.6448771
abd_10,oh,1.22,1.42,569.288048,515.625,57.91485335,171.875,48.00370343,52.02416708,7.448849962,50.46600339,1000,27.45050438,30.46434897,218.75,35.45150378,156.25,45.90739682,30.35965772,45.90739682,-10.45589303,875,3.593467037,31.85803675,218.75,25.80281932,156.25,44.05829741,31.37811458,44.05829741,-18.25547809,937.5,-0.498358341,26.30117766
abd_10,b,1.42,1.5,311.0870753,625,53.31106998,141.1561656,41.58453787,42.39954621,36.84996586,16.46110411,1000,25.47170183,27.83936815,640.625,59.29199749,156.25,48.20836911,51.02020622,12.4763444,46.81565308,953.125,33.52401818,25.76797931,640.625,53.44581091,156.25,47.51594822,49.7674991,12.07775047,41.36806044,937.5,42.70907534,10.73673556
abd_10,E,1.5,1.61,495.511268,687.5,57.71474251,156.25,47.24656609,49.59165017,13.03150752,44.68323499,875,34.07178595,23.64295657,625,47.62694802,173.5322185,44.31815954,46.46594945,35.879702,11.74724602,875,30.21436899,17.41257903,562.5,46.30537782,145.4428692,41.29656007,43.37307015,36.38874531,9.916632511,937.5,28.70287385,17.60250397
abd_10,rr,1.61,1.64,618.5917146,656.25,23.54300273,187.5,35.69849569,21.72254999,35.69849569,-12.15549296,1031.25,9.018095406,14.52490733,718.75,60.84452665,187.5,47.92634744,49.17293616,10.89017608,49.95435056,1031.25,36.67708146,24.16744518,718.75,51.56420258,187.5,51.64799861,49.21882702,54.23791731,-2.673714728,1000,32.59589157,18.96831101
