Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,,
chan_0162,aa,0.85,0.93,511.1011611,656.25,37.68592275,156.25,41.43710041,38.41154235,41.52194146,-3.836018712,875,27.56588044,10.1200423,656.25,36.58871485,156.25,41.99601441,38.36693938,41.99601441,-5.407299559,875,33.79797422,2.79074063,687.5,29.05618509,156.25,39.56331921,36.87745651,39.56331921,-10.50713411,875,30.18722201,-1.131036918,m,VN
chan_0162,aa,8.85,8.91,565.1577414,421.875,32.08905795,140.625,37.53370125,27.12173812,37.53370125,-5.444643299,1015.625,3.160074053,28.92898389,578.125,5.053659879,140.625,17.12920476,9.254138269,17.66848087,-12.61482099,890.625,-3.9500828,9.003742679,484.375,26.06269373,140.625,25.03098143,25.46504018,8.910091881,17.15260185,890.625,14.47733098,11.58536275,m,VN
chan_0164,aa,3.12,3.19,613.6272177,687.5,32.31363409,125,37.87062412,34.08581269,37.87062412,-5.556990027,937.5,28.94394233,3.369691767,687.5,33.25316969,125,38.14720776,34.83016759,38.14720776,-4.894038071,968.75,31.05336259,2.1998071,437.5,37.10211795,125,37.96467756,34.62098043,38.27758958,-1.175471626,968.75,29.90356724,7.198550714,m,VN
chan_0164,ee,4.24,4.28,407.7376664,468.75,30.36987913,140.625,40.25714988,36.45692838,40.25714988,-9.887270749,937.5,24.8909633,5.478915825,656.25,40.64167843,125,39.79913154,36.98433062,40.64167843,0,921.875,31.16544404,9.47623439,640.625,40.85067271,125,39.75662166,38.10400201,40.85067271,0,906.25,24.72076723,16.12990548,m,VN
chan_0164,oh,10.16,10.35,427.401847,593.75,35.26858855,125,37.01490569,34.35832172,37.01490569,-1.746317143,968.75,27.37204992,7.896538631,593.75,36.12772413,125,38.36435145,36.36765537,38.36435145,-2.236627323,968.75,33.16177832,2.96594581,625,37.29798466,125,39.82273236,38.4473851,39.82273236,-2.524747709,1000,28.02943628,9.268548374,m,VN
chan_0164,oh,12.01,12.17,427.8108846,625,38.46713082,125,39.44459771,36.65746459,39.44459771,-0.977466892,906.25,35.76027919,2.706851627,656.25,41.03253261,125,40.83691898,37.13041859,42.63870147,-1.606168861,937.5,42.63870147,-1.60616886,531.25,33.76100929,125,41.93996851,38.23826585,41.93996851,-8.178959219,968.75,32.596416,1.164593292,m,VN
chan_0164,oh,13.53,13.83,389.4781459,656.25,27.40656832,125,36.92001984,34.67627853,36.92001984,-9.513451516,906.25,21.14544804,6.261120285,531.25,29.90501792,125,37.76522809,35.17524551,37.76522809,-7.860210175,937.5,28.16858618,1.73643174,375,34.64619804,125,38.25877403,35.49873104,38.25877403,-3.612575988,937.5,18.83277941,15.81341864,m,VN
chan_0164,A,14.34,14.41,562.0131716,562.5,25.70826855,156.25,41.52226357,38.52503459,41.52226357,-15.81399502,875,20.3201167,5.388151849,437.5,42.30999661,156.25,41.37430611,39.40970734,42.30999661,0,875,28.1401073,14.16988931,406.25,40.74208695,155.4046427,40.8971269,40.27905536,40.8971269,-0.155039945,1000,22.98209896,17.75998799,m,VN
chan_0167,oh,8.31,8.47,444.3238408,656.25,40.22963815,125,39.60230308,36.34505859,40.22963815,0,906.25,36.51698714,3.71265101,656.25,42.18135609,125,40.90652279,37.01150568,42.18135609,0,937.5,40.62714707,1.55420902,531.25,36.22151401,125,41.86601952,38.24535425,41.86601952,-5.644505517,937.5,31.86772246,4.353791542,m,VN
chan_017,i,7.47,7.54,194.2679263,437.5,40.8521787,156.25,41.20460422,37.31092378,41.20460422,-0.352425521,875,19.10602732,21.74615138,437.5,39.90253755,156.25,41.05726279,37.46298476,41.05726279,-1.154725237,875,20.37381648,19.52872107,437.5,39.20244624,156.25,41.021465,37.65444496,41.021465,-1.819018758,875,20.77657047,18.42587577,m,VN
chan_018,oh,0.98,1.05,809.4657239,343.75,34.82405838,156.25,41.31801647,38.6246492,41.31801647,-6.493958095,875,14.79355623,20.03050214,343.75,36.09389802,156.25,41.4778854,39.33058885,41.4778854,-5.383987382,906.25,11.09933572,24.9945623,343.75,32.00393205,156.25,40.25515902,35.87953819,40.25515902,-8.251226979,906.25,8.838723867,23.16520818,m,VN
chan_018,aa,9.43,9.5,535.3067201,562.5,26.98802608,125.8290073,38.15869091,34.2918246,38.15869091,-11.17066483,968.75,17.6663196,9.321706488,437.5,33.30631924,127.2488782,38.88181551,35.24849423,38.88181551,-5.575496265,1000,26.08852784,7.2177914,437.5,33.18436649,156.25,39.24005977,34.55692933,39.24005977,-6.055693287,875,19.7409824,13.44338409,m,VN
chan_0184,i,0.75,0.8,360.9263932,609.375,34.97053139,156.25,42.6130727,37.47800301,42.6130727,-7.64254131,906.25,29.40464647,5.565884916,765.625,43.29898675,156.25,42.18320976,37.63833913,44.79060382,-1.491617078,921.875,33.03281588,10.26617087,781.25,45.35741593,156.25,43.38845274,38.78693523,45.35741593,0,937.5,37.67038622,7.687029716,m,VN
chan_021,oh,0.9,0.98,374.3595152,343.75,38.55006049,156.25,43.69751748,41.48950176,43.69751748,-5.147456982,906.25,15.47800693,23.07205357,375,30.6054928,156.25,43.57452406,42.18752243,43.57452406,-12.96903126,937.5,15.18861392,15.41687888,437.5,37.47809274,156.25,43.95933146,41.77300906,43.95933146,-6.481238723,937.5,16.2935176,21.18457514,m,VN
chan_026,oh,10.13,10.2,493.6552198,296.875,23.00434121,140.625,34.17199266,28.46155284,34.17199266,-11.16765145,921.875,5.888426215,17.11591499,421.875,7.00010791,140.625,12.61624378,12.024915,12.61624378,-5.616135869,890.625,-9.554224748,16.554332658,796.875,1.809583615,140.625,19.6456778,3.289914089,19.6456778,-17.83609418,906.25,-3.086156267,4.895739883,m,VN
chan_030,oh,1.56,1.68,837.2905104,781.25,34.10997355,125,37.93342995,30.01513519,37.93342995,-3.8234564,906.25,29.06684499,5.043128568,812.5,36.43058657,125,31.9012394,28.66380679,36.43058657,0,906.25,20.84949,15.58109657,750,33.95908982,121.2298009,30.33775709,28.09012945,33.95908982,0,906.25,24.04721094,9.911878882,m,VN
chan_036,A,6.14,6.19,549.7294097,375,24.44808295,126.277104,32.92658697,28.48323145,32.92658697,-8.478504022,1000,-6.008184626,30.45626757,375,27.26065118,125,33.47953965,30.03081596,33.47953965,-6.218888467,968.75,-1.129431611,28.390082791,343.75,25.4290463,125,31.25519997,28.3258068,31.25519997,-5.826153675,1000,-4.101256034,29.53030233,m,VN
chan_037,ee,2.41,2.59,427.8149522,437.5,8.517089062,125,21.8458689,12.66013969,21.8458689,-13.32877983,937.5,-5.169197342,13.6862864,531.25,-4.954430718,125,13.56011112,4.693780122,13.56011112,-18.51454184,937.5,-24.8361912,19.881760482,437.5,-0.05547621,156.25,2.791430954,4.34024925,-0.739362814,0.683886604,968.75,-11.08746779,11.03199158,m,VN
chan_038,A,5.2,5.27,611.305608,437.5,42.84792292,156.25,39.17100677,37.31579344,42.84792292,0,875,15.34501304,27.50290988,437.5,44.07192023,156.25,40.76338745,37.06886389,44.07192023,0,875,22.12383901,21.94808122,437.5,41.92488734,156.25,39.26817162,35.77338411,41.92488734,0,875,20.30296603,21.62192131,m,VN
chan_039,ee,1.48,1.52,550.2870515,828.125,22.45789213,140.625,40.85202127,27.77831765,40.85202127,-18.39412914,890.625,9.833277042,12.62461509,843.75,7.944724426,140.625,17.51618794,3.628929805,17.51618794,-9.571463514,1015.625,2.186018462,5.758705964,937.5,0.125489493,140.625,14.09627797,5.581560387,14.18258726,-14.05709777,937.5,0.125489493,0,m,VN
